id,customer_message,context,expected_intent,expected_intent_source,expected_resolution,should_escalate,should_escalate_source,notes,source_pair_id
g0000,Dearest this is not expected from you guys. This package was supposed to reach me by Fri. Havent yet got an update!,single-turn (no multi-turn thread reconstructed - see README limitations),other_unclear,heuristic_ruleset (not human-verified),"Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^RW",true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p000842
g0001,Any chance of the phone call from the supervisor that I was promised last night on my call to you?,single-turn (no multi-turn thread reconstructed - see README limitations),other_unclear,heuristic_ruleset (not human-verified),"Hi Will, sorry for the delay. I can see that your details are still in the Social Media queue. ^JJ",true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p013547
g0002,. thanks for no replies whatsoever on my complaint.an you please tell me what more should I do?,single-turn (no multi-turn thread reconstructed - see README limitations),other_unclear,heuristic_ruleset (not human-verified),Please fill in your details using the link: and I'll get in touch with you soon. ^AK (2/2),true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p000431
g0003,"llevo esperando una fonda todo el día, que penáis que no tengo nada que hacer un sábado o que???? 😩😩",single-turn (no multi-turn thread reconstructed - see README limitations),other_unclear,heuristic_ruleset (not human-verified),"Hola AJ, ¿cuál es la fecha estimada de entrega de tu pedido? ¿Has intentado hablar con el transportista sobre la entrega? ^LG",true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p021512
g0004,Am open to any of them that may work here?!,single-turn (no multi-turn thread reconstructed - see README limitations),other_unclear,heuristic_ruleset (not human-verified),The devices are not supported in Ireland so some features may be restricted. ^JJ,true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p020795
g0005,any update here? seems like CBI is investing this case and there seems to be too much work.,single-turn (no multi-turn thread reconstructed - see README limitations),other_unclear,heuristic_ruleset (not human-verified),"I'm sorry your issue hasn't been resolved yet. Kindly reply to the email sent by our team, we'll get back to you soon. ^AP",true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p012437
g0006,Reply 1000 times and still no resolution,single-turn (no multi-turn thread reconstructed - see README limitations),other_unclear,heuristic_ruleset (not human-verified),"We're working on it, we'll get back to you soon. ^SU",true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p002262
g0007,Ya of course ...so what i have to do....to confirm it?,single-turn (no multi-turn thread reconstructed - see README limitations),other_unclear,heuristic_ruleset (not human-verified),"If you've shared your details, we'll work on it and get back to you at the earliest. ^HN",true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p001306
g0008,y'all sent my package to the wrong location 😒😒 and now it won't come in on time,single-turn (no multi-turn thread reconstructed - see README limitations),other_unclear,heuristic_ruleset (not human-verified),"Oh no! Have you been able to contact us by phone or chat about this issue? If not, click here: ^NM",true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p016104
g0009,Done long time back. Almost a month back. No status change,single-turn (no multi-turn thread reconstructed - see README limitations),other_unclear,heuristic_ruleset (not human-verified),"We're still sending out invitations, so you don't need to apply again if you already requested for an invitation, stay tuned! ^YP",true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p003836
