pair_id,customer_tweet_id,customer_id,customer_text_raw,agent_tweet_id,agent_text_raw,agent_created_at,customer_text,agent_text,is_english,intent,label_source
p000004,617,115820,Way to drop the ball on customer service @115821 so pissed right now!,615,"@115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN",Tue Oct 31 22:29:00 +0000 2017,Way to drop the ball on customer service so pissed right now!,"I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN",true,other_unclear,heuristic_ruleset
p000005,616,115820,"@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",618,@115820 We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^AG,Tue Oct 31 23:28:00 +0000 2017,"3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",We'd like to take a further look into this with you! Please reach us by phone or chat here: ^AG,true,order_status_delivery,heuristic_ruleset
p000006,621,115822,@115823 I want my amazon payments account CLOSED.  dm me please.,620,"@115822 I am unable to affect your account via Twitter. For real time support, phone or chat use this link: https://t.co/hApLpMlfHN ^CH",Tue Oct 31 22:28:34 +0000 2017,I want my amazon payments account CLOSED. dm me please.,"I am unable to affect your account via Twitter. For real time support, phone or chat use this link: ^CH",true,other_unclear,heuristic_ruleset
p000009,628,115826,@115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,626,@115826 I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ,Tue Oct 31 22:28:00 +0000 2017,How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ,true,order_status_delivery,heuristic_ruleset
p000010,627,115827,@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,629,@115827 Thanks for your patience. ^KM,Wed Nov 01 12:53:34 +0000 2017,Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,Thanks for your patience. ^KM,true,order_status_delivery,heuristic_ruleset
p000011,632,115829,"@115830 my package was ‘accidentally’ opened.. 4 items missing worth £97.
You need better delivery drivers!! https://t.co/f6SaVBSMqM",631,@115829 I'm sorry your order arrived in this condition! Please reach out to us for available options: https://t.co/JzP7hlA23B ^DG,Tue Oct 31 22:27:00 +0000 2017,my package was ‘accidentally’ opened.. 4 items missing worth £97. You need better delivery drivers!!,I'm sorry your order arrived in this condition! Please reach out to us for available options: ^DG,true,order_status_delivery,heuristic_ruleset
p000012,634,115831,@115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,633,@115831 I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B ^SH,Tue Oct 31 22:26:37 +0000 2017,why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: ^SH,true,order_status_delivery,heuristic_ruleset
p000013,636,115832,"Thanks for the style advice, @115833 look ...I think? #Halloween2017 #flamingo https://t.co/XvI54La043",635,@115832 Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE,Tue Oct 31 22:26:07 +0000 2017,"Thanks for the style advice, look ...I think? #Halloween2017 #flamingo",Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE,true,other_unclear,heuristic_ruleset
p000015,640,115834,@AmazonHelp Is the Echo Show no longer supported?,639,"@115834 The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW",Tue Oct 31 01:09:35 +0000 2017,Is the Echo Show no longer supported?,"The Echo Show is supported, please reach us for some live troubleshooting at your convenience: ^DW",true,other_unclear,heuristic_ruleset
p000016,643,115834,"Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?",642,"@115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG",Tue Oct 31 00:52:39 +0000 2017,"Bought an Echo Show and it won’t recognize a single account in our household. WTF, guys?","Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: ^SG",true,other_unclear,heuristic_ruleset
