id,customer_message,predicted_intent,system_decision,generated_reply,human_intent_correct_1_5,human_escalation_appropriate_1_5,human_reply_helpfulness_1_5,human_reply_has_hallucination_yes_no,human_notes
g0062,"This was the second laptop you sent out as an apology for the other one which was ""damaged in transit"". Can't even get the apology to me though eh?",damaged_defective_item,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,4,5,3,no,Replacement delivery is�the immediate issue; escalation is appropriate�but the reply�is generic.
g0021,"Hi, Amazon please look into the enclosed issue to avoid the same with your customers &amp; improve your processes.",other_unclear,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,5,5,3,no,"The message is unclear, so other_unclear is reasonable; escalation is safe."
g0053,"Another day, another bent vinyl from . Do you have any quality control before sending out damaged products?",damaged_defective_item,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,5,5,3,no,Clearly reports a damaged product; escalation is appropriate but reply is generic.
g0067,What is the update on this? When am I going to receive my refund?,refund_return,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,5,5,3,no,Clearly asks about a refund; escalation is reasonable because account details may be needed.
g0126,My Amazon password works but Kindle doesn't recognize it!,account_access,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,1,5,3,no,"A non-working game beta code is a technical issue, not a damaged product."
g0057,A defective 25 ltr microwave oven Morphy Richards was supplied to me why return of product is not collected despite of repeated requests,damaged_defective_item,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0035,"I am not filling anymore details anywhere,u check the registered account with email id __email__ and work on delivery of one+5",order_status_delivery,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0048,got amazon uk beta code for bf2 and its not working??????,damaged_defective_item,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0054,"Yep and yet again it's been ""delayed"" after the first one was ""damaged in transit"" this was meant to be sent to me as an apology. Still no laptop, Prime customer, keep getting offered an extra month of Prime as compensation (great example of Prime so far?!?) Insulting.",damaged_defective_item,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0155,"Podiam voltar com a promoção do box Mistborn, não consegui comprar antes :(",product_inquiry,AUTO_HANDLE,"Olá João! Esta promoção é por tempo limitado e está condicionada à existência de produtos em estoque, expirando às 23h59m do dia 24 de novembro de 2017 ou enquanto durar o estoque. Você vai aproveitar?",,,,,
g0002,. thanks for no replies whatsoever on my complaint.an you please tell me what more should I do?,other_unclear,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0012,Tried on another browser and got through! Thanks for your help #happycustomers,other_unclear,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0040,I'm hvng issues with my recently bought 100% original Motorola turbo power charger 2.8 amp delivered on 4th of Nov. It's been less than a month and I'm not getting any solution either from custmr support or the seller. Order id 4__credit_card__ amazon id. Ankursingh,order_status_delivery,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0072,can I get a refund on my prime membership while I wait?,refund_return,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0018,Here is an open letter since only 1 sided view on how one cannot move funds frm Amazon pay is being told to me.,other_unclear,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0005,any update here? seems like CBI is investing this case and there seems to be too much work.,other_unclear,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0015,"Dia 5 (terça que vem se eu não me engano) mas eu espero que não fique uma semana lá, né? 😃",other_unclear,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0152,Help me with completing an order during a flash sale? The order is at the processing stage but the payment didn't go through..,other_unclear,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0136,I can't sign on to my account. When I ask for a password reset no email comes with a code. Help!!,account_access,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0060,I received a damaged product today from amazon. order number 406-3167131-0133142 . amazon india,damaged_defective_item,AUTO_HANDLE,"I'm sorry for the trouble! Without posting personal account information, can you tell us more?",,,,,
g0144,"Haha! Link requires me to log in to do anything :-P Already sent an email of sorts, but thank you for trying to help. I appreciate it!",account_access,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0159,Want to buy 10 or E with exchange but exchange is not available in my PIN code is there is other way I really want this,product_inquiry,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0045,I placed an order for a purifier and I received a damaged product and now u guys are now replacing it.M sick of such behaviour,damaged_defective_item,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0083,"I bought an Amazon fire tablet a few days ago for £80, the price is now £50. Are you doing the same deal as and honouring reduced prices? If not i’ll return it and get one elsewhere.",product_inquiry,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0107,I completely give up your new in android app chat support is useless and the agents are rude,general_complaint,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0125,I can't log in to that link. It says my password is incorrect. Should I try resetting the password again?,account_access,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0130,"How should I do this? I can't log into my account! Don't you get it?! I reset my password, but the new password is also incorrect.",account_access,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0084,Called them a 1000 times..also wrote a mail to mr.Amit..still no reply.. I'm fed up now and want the refund as soon as possible..pls revert,refund_return,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0016,What kind of offer show?? How many discount apply on oneplus 5 ?? Greate Nice offer😡😡,product_inquiry,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0086,"am fed up of ur automated email replies, ur Customer Service associate r sleeping for 13 dys and have no clue where my refund is.",refund_return,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0094,"Now that I’m streaming to your Prime Do U have audio assisted movies, TV, etc. as I am visually impaired. ?",app_website_technical,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
g0046,"Don't buy from , you'll likely get a counterfeit product. Instead head over to",damaged_defective_item,ESCALATE,Thanks for reaching out - I'm looping in a member of our team who can look into your account/order details and help resolve this.,,,,,
